Property,Property Name,Department,Date,Period,Person/Description,Control,Reference,Debit,Credit,Balance,Remarks
120,Hilton Head,,1/7/2014,01/2014,M&T Mnthly. Ln. Pmt. - 00881 Jan14,J-170194,MM,12462.31,0.00,-156429908.88,M&T Mnthly. Ln. Pmt. - 00881 Jan14
162,Stonebrook,,1/31/2014,01/2014,,J-177027,DB,0.00,0.48,-156429909.36,Principal True Up
166,Horizons at Sunridge,,1/7/2014,01/2014,SR M&T Monthly Loan Payment 01.14,J-171105,AS,8791.67,0.00,-156421117.69,SR M&T Monthly Loan Payment 01.14
180,St. Johns Pointe,,1/7/2014,01/2014,Wells Fargo LOC Draw 01.07,J-171471,BS,0.00,2961280.46,-159382398.15,Wells Fargo LOC Draw 01.07
210,Edenwood,,1/7/2014,01/2014,Wells Fargo LOC Draw 01.07,J-171471,BS,0.00,1241827.29,-160624225.44,Wells Fargo LOC Draw 01.07
220,Three Rivers,,1/29/2014,01/2014,BB&T Pmt 01.14,J-174314,GD,7529.88,0.00,-160616695.56,BB&T Pmt 01.14
230,Farrington,,1/7/2014,01/2014,Wells Fargo LOC Draw 01.07,J-171471,BS,0.00,955251.76,-161571947.32,Wells Fargo LOC Draw 01.07
240,Siena Courtyard,,1/7/2014,01/2014,Wells Fargo LOC Draw 01.07,J-171471,BS,0.00,841640.49,-162413587.81,Wells Fargo LOC Draw 01.07
265,Addison Landing,,1/10/2014,01/2014,Wells Loan Pmt,J-172430,BS,26646.00,0.00,-162386941.81,Wells Loan Pmt
275,Parc at Dunwoody,,1/8/2014,01/2014,Parc @ Dunwoody Opening Entry,J-173939,AP,0.00,12204147.06,-174591088.87,PD Opening Entry
300,Normandy Woods,,1/7/2014,01/2014,M&T Mnthly. Ln. Pmt. - 400920 01.14,J-171103,AS,8508.79,0.00,-174582580.08,M&T Mnthly. Ln. Pmt. - 400920 01.14
305,Parque at Bellaire,,1/7/2014,01/2014,01.14 Debt,J-170268,FC,8026.40,0.00,-174574553.68,01.14 Debt
310,Dakota Ridge,,1/7/2014,01/2014,01.14 Debt,J-170269,FC,6050.66,0.00,-174568503.02,01.14 Debt
315,The Palms of Clearwater,,1/3/2014,01/2014,BOT Loan 7664 Pymt: Jan'14,J-170826,AP,17230.14,0.00,-174551272.88,BOT Loan 7664 Pymt: Jan'14
325,Snug Harbor,,1/1/2014,01/2014,as of January 1 - all NT debt secured by Snug Harbor will moved to Snug,J-173771,JM,0.00,1451628.99,-176002901.87,Move NT Loan to Snug
335,Landings at Boot Ranch West,,1/7/2014,01/2014,NWM Loan Pmt. - 80482 Jan14,J-171439,MM,28762.45,0.00,-175974139.42,NWM Loan Pmt. - 80482 Jan14
350,The Park at Wintergreen,,1/7/2014,01/2014,M&T Mnthly. Ln. Pmt. - 01008 Jan14,J-170192,MM,7698.49,0.00,-175966440.93,M&T Mnthly. Ln. Pmt. - 01008 Jan14
352,Hunters Cove,,1/7/2014,01/2014,HC M&T Monthly Loan Payment 01.14,J-171101,AS,8405.58,0.00,-175958035.35,HC M&T Monthly Loan Payment 01.14
355,Deerfield,,1/7/2014,01/2014,M&T Mnthly. Ln. Pmt. - 01118 Jan14,J-170193,MM,5862.38,0.00,-175952172.97,M&T Mnthly. Ln. Pmt. - 01118 Jan14
360,Sage Pointe,,1/7/2014,01/2014,M&T Mnthly. Ln. Pmt. - 01119 Jan14,J-170187,MM,11421.53,0.00,-175940751.44,M&T Mnthly. Ln. Pmt. - 01119 Jan14
365,Turtle Pointe,,1/7/2014,01/2014,North Marq Pymt 00938 Jan14,J-171112,AP,16170.07,0.00,-175924581.37,North Marq Pymt 00938 Jan14
380,Westridge,,1/7/2014,01/2014,M&T Loan Pymt: 900621 Jan14,J-170292,AP,3704.49,0.00,-175920876.88,M&T Loan Pymt: 900621 Jan14
385,Hidden Colony,,1/7/2014,01/2014,Northmarq Loan Pmt 01.14,J-171108,AS,12737.30,0.00,-175908139.58,Northmarq Loan Pmt 01.14
390,Spaulding Hills,,1/7/2014,01/2014,NMQ Ln. Pmt. - 69285 Jan14,J-171097,MM,4712.88,0.00,-175903426.70,NMQ Ln. Pmt. - 69285 Jan14
