PropNumber,PropName,Market,City,State,Addr,City1,State1,Zip
615,Azalea Ridge,North FL/South GA,Jacksonville,FL,8151 Alderman Road,Jacksonville,FL,32211
675,Gregory Cove,North FL/South GA,Jacksonville,FL,5601 Edenfield Road,Jacksonville,FL,32277
685,Camri Green,North FL/South GA,Jacksonville,FL,3820 Losco Road,Jacksonville,FL,32257
650,Leigh Meadows,North FL/South GA,Jacksonville,FL,4320 Sunbeam Road,Jacksonville,FL,32257
680,Thomas Chase,North FL/South GA,Jacksonville,FL,4901 Sunbeam Road,Jacksonville,FL,32257
620,Kendall Court,North FL/South GA,Jacksonville,FL,10535 Lem Turner Road,Jacksonville,FL,32218
640,Holly Cove,North FL/South GA,Jacksonville,FL,1745 Wells Road,Orange Park,FL,32073
690,Ryan Oaks,North FL/South GA,Jacksonville,FL,2678 St Johns Bluff Rd S,Jacksonville,FL,32246
710,Blanding-Grande Court,North FL/South GA,Jacksonville,FL,7610 Blanding Boulevard,Jacksonville,FL,32244
630,Courtney Manor,North FL/South GA,Jacksonville,FL,5620 Collins Road,Jacksonville,FL,32244
655,Lindsey Terrace,North FL/South GA,Jacksonville,FL,6455 Arygle Forest Boulevard,Jacksonville,FL,32244
670,Noah's Landing,Central/South FL,Naples,FL,10555 Noahs Circle,Naples,FL,34116
720,North Port-Grande Court,Central/South FL,North Port,FL,5203 Greenwood Avenue,North Port,FL,34287
715,Grande Court-Boggy Creek,Central/South FL,Orlando,FL,1401 Grande Boulevard,Kissimmee,FL,34743
645,Logan Heights,Central/South FL,Orlando,FL,1000 Logan Heights Circle,Sanford,FL,32773
705,Stonebridge Landings,Central/South FL,Orlando,FL,7603 Ft. DeSoto Street,Orlando,FL,32822
625,Madalyn Landing,Central/South FL,Palm Bay,FL,500 Malabar Road Southwest,Palm Bay,FL,32907
940,Groves at Victoria Park,Central/South FL,Sebring,FL,2010 Village Grove Blvd,Sebring,FL,33870
980,Peppertree Lane,North FL/South GA,Jacksonville,FL,2800 University Boulevard S,Jacksonville,FL,32216
965,The Plaza,North FL/South GA,Jacksonville,FL,3780 University Club Blvd,Jacksonville,FL,32277
180,St. Johns Pointe,North FL/South GA,Jacksonville,FL,141 Old Orange Park Road,Orange Park,FL,32073
335,Landings at Boot Ranch West,Central/South FL,Tampa,FL,212 Katherine Boulevard,Palm Harbor,FL,34684
375,Cross Creek,North TX,Dallas,TX,6033 East Northwest Highway,Dallas,TX,75231
310,Dakota Ridge,North TX,Fort Worth,TX,6776 West Creek Drive,Fort Worth,TX,76133
355,Deerfield,North TX,Dallas,TX,9670 Forest Lane,Dallas,TX,75243
210,Edenwood,North GA  SC  TN,Columbia,SC,1200 North Eden Drive,Cayce,SC,29033
230,Farrington,North GA  SC  TN,Columbia,SC,1513 Farrington Way,Columbia,SC,29210
385,Hidden Colony,North GA  SC  TN,Atlanta,GA,3373 Aztec Road #5,Doraville,GA,30340
120,Hilton Head,North TX,Dallas,TX,11440 McCree,Dallas,TX,75238
166,Horizons at Sunridge,North TX,Fort Worth,TX,9001 Meadowbrook Blvd,Ft. Worth,TX,76120
352,Hunters Cove,South TX,Bay City,TX,1901 Palm Village Boulevard apt 127,Bay City,TX,77414
332,Mount Vernon,North TX,Dallas,TX,1020 Scotland Drive,DeSoto,TX,75115
300,Normandy Woods,South TX,Houston,TX,695 Normandy Street,Houston,TX,77015
