assetno,descr,svcdate,cost,boyaccumdepr,depr2013,yecccumdepr,taxnbv,deprmeth,life,propno,group,yearsinsvc,remyears,diminimusnbv,supervision,suprnbv
1,Loan Costs                                   ,1/1/2012,43692.00,18996.52,18996.52,37993.04,5698.96,Amort,2.3,105,Loan Cost,2.00,0.30,0.00,N,0.00
2,Loan Costs                                   ,10/19/2012,48148.37,7080.64,28322.57,35403.21,12745.16,Amort,1.7,105,Loan Cost,1.20,0.50,0.00,N,0.00
3,2 pcs - call center (105107)                 ,10/1/2013,1854.90,0.00,1112.94,1112.94,741.96,200DB,5.0,105,Equipment,0.25,4.75,0.00,N,0.00
4,Compliance Computer purchase (105103)        ,9/30/2013,2113.01,0.00,1267.81,1267.81,845.20,200DB,5.0,105,Equipment,0.25,4.75,0.00,N,0.00
5,Call Center Equipment (105100)               ,8/13/2013,3020.70,0.00,1812.42,1812.42,1208.28,200DB,5.0,105,Equipment,0.38,4.62,0.00,N,0.00
6,Workstation Furniture St Pete office (105101),9/1/2013,3301.00,0.00,1886.29,1886.29,1414.71,200DB,7.0,105,Furniture & Fixtures,0.33,6.67,0.00,N,0.00
7,Workstation furniture (105104)               ,10/7/2013,3488.95,0.00,1993.69,1993.69,1495.26,200DB,7.0,105,Furniture & Fixtures,0.23,6.77,0.00,N,0.00
8,Xerox Work Center (105105)                   ,10/1/2013,4711.00,0.00,2826.60,2826.60,1884.40,200DB,5.0,105,Equipment,0.25,4.75,0.00,N,0.00
9,Jacksonville New Office Furnishings (10567659,12/13/2013,15352.70,0.00,8772.97,8772.97,6579.73,200DB,7.0,105,Furniture & Fixtures,0.05,6.95,0.00,N,0.00
10,Jacksonville Office Buildout 12/2013 (1056765,12/13/2013,38794.67,0.00,20367.21,20367.21,18427.46,150DB,15.0,105,Capital Improvements,0.05,14.95,0.00,N,0.00
11,Blackbox Telephone Upgrade (105106)          ,10/1/2013,40850.26,0.00,24510.16,24510.16,16340.10,200DB,5.0,105,Equipment,0.25,4.75,0.00,N,0.00
