"","x"
"1","                                             "
"2","#1902 roof repa                              "
"3","#628 & 627 REPL                              "
"4","#SD008-2008 Exterior Lighting                "
"5","(2) Pool Area Umbrella's                     "
"6","(3) Motorola Radios                          "
"7","05 Audit Addition                            "
"8","062    C_Interior Painting                   "
"9","062    C_Irrigation System                   "
"10","062    C_Playfields & Equipment              "
"11","062    C_Plumbing                            "
"12","062    C_Site Lighting                       "
"13","062    C_Supervision                         "
"14","062    C_Tree Removal                        "
"15","062    C_Unit & Building Signs               "
"16","062_2 ton 13 SR Condenser                    "
"17","062_A/C Unit                                 "
"18","062_C_Gates                                  "
"19","062_C_Irrigation System                      "
"20","062_C_Landscaping                            "
"21","062_C_Supervision                            "
"22","062_Change order-SB002-07 Appt#1             "
"23","062_Condenser Unit                           "
"24","062_CONDENSER UNIT                           "
"25","062_Condensing Units                         "
"26","062_dishwasher                               "
"27","062_Dishwasher                               "
"28","062_Dishwashers                              "
"29","062_dryer                                    "
"30","062_DVR Replacmnt                            "
"31","062_E_Air Conditioning & Heat                "
"32","062_E_Dishwasher                             "
"33","062_E_Miscellaneous Asset Replacements       "
"34","062_E_Range/Ventahood                        "
"35","062_E_Refrigerator/Icemaker                  "
"36","062_E_Washer/Dryer                           "
"37","062_E_Water Heaters                          "
"38","062_electric range                           "
"39","062_ELECTRIC WATER                           "
"40","062_F_Amenity Replacements                   "
"41","062_F_Office Equipment                       "
"42","062_F_Office/Clubroom Furniture              "
"43","062_Fire proof Cabinet                       "
"44","062_Gate                                     "
"45","062_Gate Card Reader Replcmnt                "
"46","062_Gate Repairs                             "
"47","062_hot water                                "
"48","062_Hot water                                "
"49","062_HOT WATER TANK                           "
"50","062_Landscaping Improvements                 "
"51","062_NEW WATER HEATE                          "
"52","062_Office Equipment                         "
"53","062_Office fax/copier                        "
"54","062_Office Fax/Copier (see Asset #062328     "
"55","062_office supplies                          "
"56","062_Office/Clubroom Furniture                "
"57","062_Rane/Ventahood                           "
"58","062_Range                                    "
"59","062_range hood                               "
"60","062_Range Hood                               "
"61","062_Ranges/Ventahoods                        "
"62","062_Refrigerator-3                           "
"63","062_refrigerator                             "
"64","062_Refrigerator                             "
"65","062_Refrigerator/ 40820                      "
"66","062_Refrigerators-2                          "
"67","062_Refrigerators                            "
"68","062_Refrigertor                              "
"69","062_REPAIRED POOL G                          "
"70","062_replaced dishwasher                      "
"71","062_replaced hot water heater                "
"72","062_REPLACED SUPPLI                          "
"73","062_replaced supply                          "
"74","062_Retaining Walls                          "
"75","062_Rooter                                   "
"76","062_Sealcoating                              "
"77","062_short water heater                       "
"78","062_Signs                                    "
"79","062_Storm Drainage Sys                       "
"80","062_Supervision                              "
"81","062_TRENCH NEAR 4 &                          "
"82","062_Ventahood                                "
"83","062_Ventahoods                               "
"84","062_Venthood                                 "
"85","062_VentHood                                 "
"86","062_Venthoods                                "
"87","062_washer                                   "
"88","062_Washer                                   "
"89","062_Washer & Dryer                           "
"90","062_washer replaced                          "
"91","062_Washer/Dryer                             "
"92","062_washers                                  "
"93","062_Washers                                  "
"94","062_Water Heater-2                           "
"95","062_WATER HEATER-2                           "
"96","062_water heater                             "
"97","062_Water Heater                             "
"98","062_Water Heaters-2                          "
"99","062_water heaters                            "
"100","062_Water Heaters                            "
"101","062_white range hood                         "
"102","062_Wood Stair Assemblies                    "
"103","1-2ton 2-2.5ton louver                       "
"104","1-seer unit 1- firdown                       "
"105","1-washer 1- dryer                            "
"106","1-washer 1-dryer                             "
"107","1-washer 2-dryers                            "
"108","1 airhandler &1.5 ton louver unit            "
"109","1 dishwasher                                 "
"110","1 Range/1 Vent                               "
"111","1 Refrigerato                                "
"112","1 Stove/2 range hoods                        "
"113","1 washer 1 dryer                             "
"114","1 Washer/1 Dryer                             "
"115","1 water heater                               "
"116","1.5-2 ton air handler                        "
"117","1.5-2 ton condensor                          "
"118","1.5-3.0 ton seer unit                        "
"119","1.5 ton 13 seer unit                         "
"120","1.5 ton air handler                          "
"121","1.5 ton Bristol Compressor                   "
"122","1.5 ton comfort range                        "
"123","1.5 ton compressor                           "
"124","1.5 ton condensor                            "
"125","1.5 ton fan coil                             "
"126","1.5 ton fan coil unit                        "
"127","1.5 ton louver unit                          "
"128","1.5 ton seer unit                            "
"129","1.5 Ton Stud Mount 13 Seer A/H               "
"130","1.5 ton units                                "
"131","1.5ton louver unit                           "
"132","1.5ton seer condensor                        "
"133","1/2HP Speedrooter                            "
"134","1/3hp Mini Rooter                            "
"135","1/3HP Mini Rooter                            "
"136","10 ft Miter Tops                             "
"137","1061 & 2107 & 1139                           "
"138","120    C_Brick & Foundation Repairs          "
"139","120    C_Doors                               "
"140","120    C_Electrical                          "
"141","120    C_Exterior Siding                     "
"142","120    C_Fire Protections Spec               "
"143","120    C_Lum Sum Office Improvements         "
"144","120    C_Metal Fabrications                  "
"145","120    C_Metal Windows                       "
"146","120    C_Molding & Trims                     "
"147","120    C_Plumbing                            "
"148","120    C_Supervision                         "
"149","120    C_Timber Retaining Walls              "
"150","120    E_Communications Alarms               "
"151","120    E_HVAC                                "
"152","120    F_Lighting & Fixtures                 "
"153","120    F_Outdoor Furniture                   "
"154","120    F_Window Treatment                    "
"155","120 _camera inspection & auger               "
"156","120_#324 dishwasher                          "
"157","120_1 dryer 2 washers                        "
"158","120_1.5 ton a/c u                            "
"159","120_1.5 ton a/c uni                          "
"160","120_1.5 ton A/C unit                         "
"161","120_1.5 Ton Condensor                        "
"162","120_2- new frig #23                          "
"163","120_2-1.5 A/C units                          "
"164","120_2-1.5 ton units                          "
"165","120_2 A/C Units                              "
"166","120_2 dishewashers                           "
"167","120_2 dishwashers                            "
"168","120_2 Dishwashers                            "
"169","120_2 Dryers                                 "
"170","120_2 floor mats                             "
"171","120_2 frig and icem                          "
"172","120_2 refrigerators                          "
"173","120_3 dishwashers                            "
"174","120_3 Ranges & hoods                         "
"175","120_A/C & Heat                               "
"176","120_a/c unit                                 "
"177","120_A/C Unit                                 "
"178","120_A/C Units                                "
"179","120_AC units-2                               "
"180","120_Alarm for office & maint                 "
"181","120_Amenity Replacment                       "
"182","120_Boiler Repairs/Materials                 "
"183","120_Brick repairs 3 8 15 and wall            "
"184","120_C_Balconies                              "
"185","120_C_Cab & Vanities & Tops                  "
"186","120_C_Ceramic Tiles                          "
"187","120_C_Electrical                             "
"188","120_C_Gypsum Board                           "
"189","120_C_Interior Painting                      "
"190","120_C_Lighting & Fixtures                    "
"191","120_C_Molding & Trims                        "
"192","120_C_Paving & Marking                       "
"193","120_C_Plumbing                               "
"194","120_C_Special Doors                          "
"195","120_C_Supervision                            "
"196","120_Cleaning &Grubbing                       "
"197","120_Concrete Foundations                     "
"198","120_Concrete Repairs                         "
"199","120_condensor                                "
"200","120_Construction Tavel                       "
"201","120_Construction Travel                      "
"202","120_dishwasher-2                             "
"203","120_dishwasher                               "
"204","120_Dishwasher                               "
"205","120_Dishwashers-4                            "
"206","120_Dishwashers                              "
"207","120_Dryer                                    "
"208","120_Ductwork                                 "
"209","120_E_Air Conditioning & Heat                "
"210","120_E_Dishwasher                             "
"211","120_E_Miscellaneous Asset Replacements       "
"212","120_E_Recreational equipment                 "
"213","120_E_Refrigerator/Icemaker                  "
"214","120_E_Residential Equipment                  "
"215","120_E_Washer/Dryer                           "
"216","120_Exterior lighting installed              "
"217","120_Field Supervision                        "
"218","120_Fridge Icemaker  Icemaker kit            "
"219","120_Gate motor                               "
"220","120_gate part replacement                    "
"221","120_gate part replacement2                   "
"222","120_icemaker                                 "
