pno, gpr, vacy, otherrent, rent, othinc, rev, adm, mktg, pay, rpars, svcs, mgt, proptax, ins, util, replac, totexp, noiar, margin, int, prin, debtsvc, corp,units, sqft,state,mkt,prop,date
120,3261425,-197441,-257473,2806511,310230,3116740,47005,32632,390862,125206,104302,109072,364309,79070,210864,221509,1684831,1431909,0.46,598178,156771,754949,-43599,380,263860,TX,Dallas/FtWorth,    Hilton Head,08/2015
150,1894691,-510363,-160982,1223346,145446,1368792,31955,45411,232426,31406,62592,57117,152537,39658,109947,127193,890242,478550,0.35,425460,0,425460,-282428,256,226048,FL,St Pete/Tampa,    Valrico Station,08/2015
162,1955921,-215951,-171809,1568160,194171,1762332,72863,20515,267217,249257,116379,70490,147566,60878,126253,233771,1365190,397141,0.23,191010,78206,269216,18163,244,238640,TN,Memphis,    Stonebrook,08/2015
166,2284113,-144901,-187163,1952049,213943,2165992,52280,28127,284148,172304,62296,92030,295649,58691,125076,190477,1361078,804914,0.37,301306,123755,425061,51472,272,203712,TX,Dallas/FtWorth,    Sunridge,08/2015
180,2619505,-201747,-182363,2235396,317888,2553284,40742,24337,337202,224500,95735,102138,158169,78257,243363,255888,1560330,992954,0.39,268611,0,268611,15086,284,297200,FL,Jaxville/PalmBay,    St. Johns Pointe,08/2015
210,1365171,-115228,-104256,1145687,106928,1252615,27490,13376,177859,70257,47200,56367,65995,43996,90182,92303,685025,567589,0.45,209901,68380,278281,32043,168,149720,SC,Columbia,    Edenwood,08/2015
220,966927,-52242,-77969,836716,101880,938597,19233,17922,158463,63149,22820,42000,96707,38192,100549,114054,673088,265508,0.28,120426,49352,169778,23100,108,119826,SC,Columbia,    Three Rivers,08/2015
230,1271520,-95214,-85395,1090912,150547,1241459,31036,19057,196857,113683,42973,49662,94693,49395,171259,167048,935661,305798,0.25,155860,49768,205627,36068,158,180500,SC,Columbia,    Farrington,08/2015
240,1392865,-89355,-147128,1156383,182620,1339002,46286,19128,199652,137211,73080,53569,107998,43264,110621,151494,942300,396702,0.30,71590,0,71590,21361,200,157040,TX,Houston/BayCity,    Siena Courtyard,08/2015
265,3096062,-212157,-252312,2631593,335600,2967193,52655,28580,322131,165479,130108,103869,344817,97942,198779,323327,1767686,1199506,0.40,471805,246263,718068,-18449,289,325451,FL,Jaxville/PalmBay,    Addison Landing,08/2015
