"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"3","2 pcs - call center (105107)                 ","10/1/2013",1854.9,741.96,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"4","compliance computer purchase (105103)        ","9/30/2013",2113.01,845.2,"200DB",5,"105","Equipment",0.25,4.75,"None","computers"
"5","call center equipment (105100)               ","8/13/2013",3020.7,1208.28,"200DB",5,"105","Equipment",0.38,4.62,"None","None"
"6","workstation furniture st pete office (105101)","9/1/2013",3301,1414.71,"200DB",7,"105","Furniture & Fixtures",0.33,6.67,"None","furniture"
"7","workstation furniture (105104)               ","10/7/2013",3488.95,1495.26,"200DB",7,"105","Furniture & Fixtures",0.23,6.77,"None","furniture"
"8","xerox work center (105105)                   ","10/1/2013",4711,1884.4,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"9","jacksonville new office furnishings (10567659","12/13/2013",15352.7,6579.73,"200DB",7,"105","Furniture & Fixtures",0.05,6.95,"None","furniture"
"10","jacksonville office buildout 12/2013 (1056765","12/13/2013",38794.67,18427.46,"150DB",15,"105","Capital Improvements",0.05,14.95,"None","office"
"11","blackbox telephone upgrade (105106)          ","10/1/2013",40850.26,16340.1,"200DB",5,"105","Equipment",0.25,4.75,"None","None"
"22","bathroom floor tile replacement              ","2/1/2012",8155.38,7599.33,"S/L",27.5,"105","Capital Improvements",1.92,25.58,"None","tile"
"25","goodwill (intangible asset)                  ","8/2/2005",824972,362071.07,"Amort",15,"105","Goodwill",8.42,6.58,"None","None"
"26","goodwill (management contract)               ","8/2/2005",236084,103614.67,"Amort",15,"105","Goodwill",8.42,6.58,"None","None"
"27","drywall                                      ","4/1/2012",1600,1500.61,"S/L",27.5,"105","Capital Improvements",1.75,25.75,"None","None"
"28","office wall and plumbing                     ","10/1/2012",3207.58,3066.64,"S/L",27.5,"105","Capital Improvements",1.25,26.25,"None","office"
"29","signs                                        ","2/1/2012",240,57.6,"200DB",5,"105","Capital Improvements",1.92,3.08,"None","signs"
"30","envelope pressure sealer                     ","5/1/2012",8137.33,1952.96,"200DB",5,"105","Equipment",1.67,3.33,"None","None"
"31","hp laptop mrutledge                          ","11/14/2012",909.49,218.27,"200DB",5,"105","Equipment",1.13,3.87,"None","None"
"32","office equipment                             ","2/1/2012",10249.34,3137.55,"200DB",7,"105","Equipment",1.92,5.08,"None","office"
"33","phone system sp voip                         ","1/1/2012",16836.84,4040.84,"200DB",5,"105","Equipment",2,3,"None","None"
"34","telephone-voip camera etc                    ","8/24/2012",62779.74,15067.14,"200DB",5,"105","Equipment",1.35,3.65,"None","None"
"35","voip panels/equip jx                         ","2/1/2012",3479.95,835.19,"200DB",5,"105","Equipment",1.92,3.08,"None","None"
"36","workstations ap                              ","5/1/2012",3786.51,1159.14,"200DB",7,"105","Furniture & Fixtures",1.67,5.33,"None","None"
"48","vestcor fees-2006                            ","7/1/2006",329501.86,164750.93,"Amort",15,"105","Intangibles",7.51,7.49,"None","None"
"64","conf/train rm table & buffet credenza        ","4/1/2007",38751.68,1729.27,"200DB",7,"105","Furniture & Fixtures",6.76,0.24,"None","None"
"67","goodwill                                     ","7/1/2007",41619.95,23584.66,"Amort",15,"105","Goodwill",6.51,8.49,"None","None"
"70","computer m rutledge                          ","2/2/2009",1678.28,48.33,"200DB",5,"105","Equipment",4.91,0.09,"None","computers"
"71","computer server                              ","6/1/2009",3644.11,104.95,"200DB",5,"105","Equipment",4.59,0.41,"None","computers"
"72","computer server set up install               ","9/29/2009",4050,116.64,"200DB",5,"105","Equipment",4.26,0.74,"None","computers"
"73","2 dell optiplex towers                       ","11/21/2009",1687.56,48.6,"200DB",5,"105","Equipment",4.11,0.89,"None","None"
"74","computer                                     ","12/31/2009",1321.96,38.07,"200DB",5,"105","Equipment",4,1,"None","computers"
"75","computer monitors                            ","2/28/2010",1758.82,151.96,"200DB",5,"105","Equipment",3.84,1.16,"None","computers"
"76","troy check printer                           ","4/30/2010",817.12,70.6,"200DB",5,"105","Equipment",3.67,1.33,"None","None"
"77","crosland legal fees (67642)                  ","10/1/2011",39132,17120.25,"Amort",4,"105","Intangibles",2.25,1.75,"None","None"
"78","crosland legal fees (67651)                  ","10/1/2011",90185,39455.94,"Amort",4,"105","Intangibles",2.25,1.75,"None","None"
"85","capital improvements                         ","6/30/2004",2080,1358.27,"S/L",27.5,"120","Capital Improvements",9.51,17.99,"None","None"
"90","building                                     ","6/30/2004",10845000,7082113.6,"S/L",27.5,"120","Building",9.51,17.99,"None","None"
"92","hvac                                         ","6/30/2004",1001.92,162.7,"150DB",15,"120","Capital Improvements",9.51,5.49,"None","None"
"94","landscaping improvements                     ","6/30/2004",1417,230.09,"150DB",15,"120","Capital Improvements",9.51,5.49,"None","landscaping"
"105","capital improvements                         ","6/30/2005",332146,228979.41,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","None"
"107","hvac                                         ","6/30/2005",351.77,242.52,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","None"
"111","land improvement / landscape                 ","6/30/2005",71905.81,27598.77,"150DB",15,"120","Capital Improvements",8.51,6.49,"None","landscaping"
"112","signage                                      ","6/30/2005",13448,9270.96,"S/L",27.5,"120","Capital Improvements",8.51,18.99,"None","signs"
"115","120_a/c unit                                 ","9/20/2007",605.12,466.7,"S/L",27.5,"120","Equipment",6.28,21.22,"None","hvac"
"116","120_1.5 ton a/c u                            ","10/9/2007",588.22,455.42,"S/L",27.5,"120","Equipment",6.23,21.27,"None","hvac"
"118","120_condensor                                ","11/13/2007",588.22,457.21,"S/L",27.5,"120","Equipment",6.14,21.36,"None","condenser"
"119","120_replace circlulator                      ","12/11/2007",1025.75,800.4,"S/L",27.5,"120","Equipment",6.06,21.44,"None","None"
"130","120_a/c unit                                 ","6/30/2007",605.12,461.2,"S/L",27.5,"120","Equipment",6.51,20.99,"None","hvac"
"170","1.5 ton seer unit                            ","9/26/2006",578.99,425.5,"S/L",27.5,"120","Equipment",7.27,20.23,"None","HVAC"
"173","1.5 ton seer unit                            ","10/5/2006",578.99,427.25,"S/L",27.5,"120","Equipment",7.24,20.26,"None","HVAC"
"177","1.5 ton fan coil                             ","8/22/2006",362.26,265.13,"S/L",27.5,"120","Equipment",7.36,20.14,"None","HVAC"
"180","1.5 ton seer unit                            ","9/18/2006",578.98,425.49,"S/L",27.5,"120","Equipment",7.29,20.21,"None","HVAC"
"181","1.5 ton seer unit                            ","7/25/2006",577.97,421.2,"S/L",27.5,"120","Equipment",7.44,20.06,"None","HVAC"
"184","1.5 ton seer unit                            ","7/31/2006",616.44,449.23,"S/L",27.5,"120","Equipment",7.42,20.08,"None","HVAC"
"185","2 ton seer unit                              ","8/4/2006",691,505.67,"S/L",27.5,"120","Equipment",7.41,20.09,"None","HVAC"
"188","2 ton fan coil                               ","8/15/2006",409.06,299.39,"S/L",27.5,"120","Equipment",7.38,20.12,"None","HVAC"
"189","1.5 ton louver unit                          ","6/8/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.57,19.93,"None","louver"
"190","1.5 ton louver unit                          ","6/12/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.56,19.94,"None","louver"
"191","1.5 ton louver unit                          ","6/15/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.55,19.95,"None","louver"
"196","1.5 ton louver unit                          ","6/29/2006",396.24,287.57,"S/L",27.5,"120","Equipment",7.51,19.99,"None","louver"
