pno,rev,noiar,pAndI,cflowds,reno,corpexp,cfnet,physocc,econocc,units,sqft,margin,prop,st,mkt,perEnd
120,3010064,1363555,779709,583846,248741,-78066,413171,92.89,83.65,380,263860,0.45,Hilton Head,TX,Dallas,12/2014
150,1276424,450133,89739,360394,5381424,-212856,-4808175,85.81,64.19,148,102404,0.35,Valrico Station,FL,Tampa,12/2014
162,1750562,483697,262297,221400,153511,17996,49893,88.93,73.76,244,238640,0.28,Stonebrook,TN,Memphis,12/2014
166,2080054,784281,467088,317193,175213,43726,98255,94.49,85.96,272,203712,0.38,Horizons at Sunridge,TX,Fort Worth,12/2014
180,2437199,917514,327383,590131,282862,9393,297875,90.49,82.09,284,297200,0.38,St. Johns Pointe,FL,Jacksonville,12/2014
210,1227134,569165,178160,391005,49319,33490,308196,92.26,82.19,168,149720,0.46,Edenwood,SC,Columbia,12/2014
220,925355,272623,178132,94491,1516,25699,67276,92.59,86.33,108,119826,0.29,Three Rivers,SC,Columbia,12/2014
230,1232877,340031,155945,184086,25352,29075,129659,93.67,80.63,158,180500,0.28,Farrington,SC,Columbia,12/2014
240,1272460,345364,128430,216934,149209,13786,53940,90.50,77.29,200,157040,0.27,Siena Courtyard,TX,Houston,12/2014
265,2903654,1239855,808971,430884,1563698,-60469,-1072345,91.35,82.29,289,325451,0.43,Addison Landing,FL,Jacksonville,12/2014
275,2374200,863595,461951,401644,790635,217196,-606188,88.46,85.10,312,273996,0.36,Parc at Dunwoody,GA,Atlanta,12/2014
300,2282264,1078640,524291,554350,85321,36589,432440,93.28,88.13,268,207416,0.47,Normandy Woods,TX,Houston,12/2014
305,1958064,876338,391580,484758,93775,28688,362295,97.01,94.05,201,193963,0.45,Parque at Bellaire,TX,Houston,12/2014
310,1798792,536798,295191,241607,176183,18587,46837,96.32,85.23,272,184080,0.30,Dakota Ridge,TX,Fort Worth,12/2014
315,1994797,958879,571899,386980,96376,18568,272036,96.50,89.16,200,156400,0.48,The Palms of Clearwater,FL,Tampa,12/2014
325,1763770,619075,75855,543220,65276,66377,411567,95.76,80.72,236,178829,0.35,Snug Harbor,TX,Dallas,12/2014
332,3279895,1358575,389254,969321,9295955,-562319,-7764316,77.55,70.06,432,367663,0.41,Mount Vernon,TX,Dallas,12/2014
335,3083952,1699642,865914,833728,1106580,15770,-288622,92.67,87.83,232,248614,0.55,Landings at Boot Ranch West,FL,Tampa,12/2014
350,2221423,932115,519401,412714,59825,39052,313836,94.92,87.52,256,204544,0.42,The Park at Wintergreen,TX,Dallas,12/2014
352,2021041,693780,236648,457132,557747,-2014,-98601,95.09,92.71,326,305048,0.34,Hunters Cove,TX,Bay City,12/2014
355,1917725,764494,417996,346498,415056,7243,-75801,98.05,90.06,256,181200,0.40,Deerfield,TX,Dallas,12/2014
360,3041443,996904,814372,182532,109836,44848,27847,91.56,82.86,486,311858,0.33,Sage Pointe,TX,Dallas,12/2014
365,3473157,1326246,557827,768419,246352,51512,470554,95.83,89.77,432,313004,0.38,Turtle Pointe,TX,Houston,12/2014
380,1192417,320867,180729,140138,49991,19426,70721,93.75,86.58,176,139776,0.27,Westridge,TX,Fort Worth,12/2014
385,2539323,895167,563781,331387,341042,13385,-23041,84.64,85.20,280,350600,0.35,Hidden Colony,GA,Atlanta,12/2014
390,960258,356786,219519,137267,102929,6066,28272,89.80,88.13,98,104106,0.37,Spaulding Hills,GA,Atlanta,12/2014
