term,name
w cover,window covering
ven,range
vani,vanities
utter,gutter
upervis,supervision
umbing,plumbing
ton,HVAC
ryer,dryer
pressor,compressor
pool,pool
door,doors
floor,flooring
oof,roof
onden,condenser
omput,computers
offi,office
ndows,windows
mgmt,supervision
louv,louver
llcovering,wall covering
ishwas,dishwasher
igns,signs
idewal,sidewalks
icem,icemaker
HVAC,HVAC
golf,golf cart
ghting,lighting
furn,furniture
friger,refrigerator
enovat,renovation
emov,removal
crowave,microwave
aving,paving
avel,supervision
ater,water heater
ange,range
andscap,landscaping
ainting,painting
a/c,HVAC
iding,siding
air con,HVAC
lectric,electrical
ounda,foundation
tile,tile
drai,drainage
oodwor,woodwork
spha,asphalt
upplie,supplies
gate,gates
abine,cabinets
frig,refrigerator
oile,toilets
coi,HVAC
irr,irrigation
bri,brick
ilea,supervision
repa,repair
ealcoa,sealcoat
hood,range
alcon,balcony
fridg,refrigerator
urb,curb
ight,lighting
pain,painting
appl,appliances
fram,framing
stov,range
sewe,sewer
mgt,supervision
fenc,fences
sod,sod
viny,vinyl
air han,HVAC
sign,signs
surp,supervision
carp,carpet
stai,stairs
grub,cleaning grubbing
mail,mail house
arking,parking lot
frid,refrigerator
coun,countertops
ubhou,clubhouse
